-54.00,-83.00,-93.00,-80.00,-91.00,0.00,-78.00,-86.00,-91.00,0.00,-81.00,0.00,-82.00,-90.00,0.00,-93.00,0.00,-95.00,0.00,0.00,0.00
-54.00,-82.00,-86.00,-91.00,-66.00,-88.00,-86.00,0.00,-94.00,0.00,-84.00,0.00,-80.00,-86.00,0.00,-86.00,0.00,0.00,0.00,0.00,0.00
-57.00,0.00,-91.00,0.00,-61.00,-92.00,-81.00,-87.00,-86.00,0.00,-83.00,0.00,-79.00,-86.00,0.00,-90.00,0.00,0.00,0.00,0.00,0.00
-56.00,-86.00,-84.00,-91.00,-61.00,-95.00,-81.00,-88.00,-87.00,0.00,-81.00,0.00,-79.00,-88.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00
-53.00,-87.00,-90.00,-86.00,-60.00,-94.00,-83.00,0.00,-88.00,0.00,-82.00,0.00,-80.00,-86.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00
-57.00,-85.00,-84.00,-83.00,-58.00,-92.00,-82.00,0.00,-88.00,0.00,-82.00,0.00,-81.00,-85.00,0.00,-94.00,0.00,0.00,0.00,0.00,0.00
-56.00,-84.00,-88.00,-84.00,-60.00,0.00,-83.00,-89.00,-88.00,0.00,-78.00,0.00,-80.00,-83.00,0.00,-90.00,0.00,0.00,0.00,0.00,0.00
-55.00,-83.00,-88.00,-85.00,-61.00,-93.00,0.00,0.00,-87.00,0.00,0.00,0.00,-81.00,-86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-63.00,-89.00,-89.00,-85.00,-63.00,-93.00,-84.00,0.00,0.00,0.00,-87.00,0.00,-90.00,-89.00,0.00,-93.00,0.00,0.00,-96.00,0.00,0.00
-59.00,-94.00,-90.00,-89.00,-68.00,-94.00,-85.00,0.00,0.00,0.00,-84.00,0.00,-90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-63.00,-89.00,-92.00,-89.00,-68.00,0.00,-89.00,0.00,0.00,0.00,-85.00,0.00,-91.00,-95.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00
-64.00,-90.00,-69.00,0.00,-66.00,0.00,-86.00,0.00,0.00,0.00,-85.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-63.00,-88.00,-92.00,-90.00,-67.00,0.00,-88.00,0.00,0.00,0.00,-86.00,0.00,-92.00,-91.00,0.00,-91.00,0.00,0.00,0.00,0.00,0.00
-63.00,-88.00,-90.00,-88.00,-66.00,0.00,-87.00,-91.00,0.00,0.00,-81.00,0.00,-91.00,-96.00,0.00,-93.00,0.00,0.00,0.00,0.00,0.00
-62.00,-85.00,-92.00,0.00,-67.00,0.00,-87.00,0.00,0.00,0.00,-82.00,0.00,-91.00,-91.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00
-63.00,-86.00,-90.00,-86.00,-69.00,0.00,-87.00,0.00,0.00,0.00,-82.00,0.00,-92.00,-88.00,0.00,-90.00,0.00,0.00,0.00,0.00,0.00
-64.00,-83.00,-90.00,-89.00,-71.00,0.00,-87.00,0.00,0.00,0.00,-81.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-63.00,-84.00,-89.00,-90.00,-71.00,-96.00,-84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00
-63.00,-86.00,-94.00,-90.00,-69.00,-93.00,-88.00,0.00,0.00,0.00,-81.00,0.00,0.00,-94.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00
-63.00,-86.00,-87.00,-93.00,-68.00,0.00,-83.00,0.00,0.00,0.00,-87.00,0.00,-94.00,0.00,0.00,-92.00,0.00,0.00,0.00,0.00,0.00
